Name,Address,Latitude,Longitude,Income,Density,Trafic
Alm Alimentation,"31 Rue du Général Leclerc, Mandres-les-Roses",48.7012934,2.5424869,19.02,22.14341692789969,20.24141692789969
Mandres services,"13 Rue du Général Leclerc, Mandres-les-Roses",48.7019556,2.5434747,19.02,22.14341692789969,20.24141692789969
SUPERMARCHÉ G20,"12 Rue Georges Clemenceau, Limeil-Brévannes",48.7421799,2.4774939,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"153 Rue Houdan, Sceaux",48.7787894,2.2811332,21.82,27.2625,25.0805
MONOPRIX,"16 Rue Auguste Mounié, Antony",48.753837,2.303629599999999,19.59,23.92304964539007,21.96404964539007
bp,"157 Avenue de la Division Leclerc, Châtenay-Malabry",48.7628838,2.2780053,21.82,27.2625,25.0805
Shell,"N118, Rue du Val de Grâce, Vélizy-Villacoublay",48.7709862,2.2275379,21.82,27.2625,25.0805
Franprix,"61 Avenue Jean Monnet, Antony",48.7463415,2.2970793,19.59,23.92304964539007,21.96404964539007
bp,"N118, Bièvres",48.7481135,2.1973768,21.82,27.2625,25.0805
TotalEnergies,"320 Avenue du Général de Gaulle, Clamart",48.7848154,2.2493221,21.82,27.2625,25.0805
STATION Esso MEUDON TASSIGNY,"38 Avenue du Maréchal de Lattre de Tassigny, Meudon",48.7848571,2.226387899999999,21.82,27.2625,25.0805
SUPERMARCHÉ G20,"171 Avenue Jean Baptiste Clément, Clamart",48.79056400000001,2.2630263,21.82,27.2625,25.0805
Brasa St Antonio,"77 Avenue du Général de Gaulle, Clamart",48.7916406,2.267128500000001,21.82,27.2625,25.0805
Ayour,"2 Rue de Paron, Verrières-le-Buisson",48.7471317,2.2656624,21.82,27.2625,25.0805
STAR marche exotique,"325 Avenue de la Division Leclerc, Châtenay-Malabry",48.7659311,2.25576,21.82,27.2625,25.0805
Votre Marché,"6 Rue Gabriel Péri, Igny",48.7431264,2.2259067,21.82,27.2625,25.0805
La Vie Claire,"100 Avenue de la Division Leclerc, Châtenay-Malabry",48.76269879999999,2.2825221,21.82,27.2625,25.0805
Franprix,"4-6 Cour du Sud, Clamart",48.78046019999999,2.240991799999999,21.82,27.2625,25.0805
La Vie Claire,"Quartier Grand-Canal, 9 Le Clos du Breuil, Clamart",48.7807522,2.2409301,21.82,27.2625,25.0805
SUPERETTE DU PAVE BLANC,"5 Route du Pavé Blanc, Clamart",48.78083329999999,2.238828299999999,21.82,27.2625,25.0805
SUPERMARCHÉ G20,"103 Rue de la Bourcillière, Clamart",48.78010310000001,2.2284685,21.82,27.2625,25.0805
