Name,Address,Latitude,Longitude,Income,Density,Traffic
Target,"255 Greenwich Street, New York",40.7143284,-74.01091439999999,57565.0,2686.2555066079294,2.6286905066079296
Lot-Less,"95 Fulton Street, New York",40.7094703,-74.00605639999999,30967.0,2276.343612334802,2.245376612334802
Kennedy Department Store Inc,"270 Central Avenue, Jersey City",40.743992,-74.05034069999999,84978.0,3965.46255506608,3.88048455506608
Closeout Services Corporation.,"380 Rector Place, New York",40.7092827,-74.01811359999999,30967.0,2276.343612334802,2.245376612334802
Sunglass Hut at Macy's,"20 Mall Drive East, Jersey City",40.7265788,-74.0373272,57565.0,2686.2555066079294,2.6286905066079296
MUJI SOHO,"455 Broadway, New York",40.7207083,-74.00097459999999,57565.0,2686.2555066079294,2.6286905066079296
Primark,"50 Mall Drive West, Jersey City",40.72846529999999,-74.03785359999999,57565.0,2686.2555066079294,2.6286905066079296
Oceanus New York inc.,"30 Wall Street, New York",40.70692079999999,-74.01015819999999,30967.0,2276.343612334802,2.245376612334802
Westfield World Trade Center,"185 Greenwich Street, New York",40.7114207,-74.0114897,30967.0,2276.343612334802,2.245376612334802
Century 21 NYC,"22 Cortlandt Street, New York",40.7104702,-74.0105359,30967.0,2276.343612334802,2.245376612334802
Sav’s Store,"40 Fulton Street, New York",40.7078943,-74.0049023,30967.0,2276.343612334802,2.245376612334802
T.J. Maxx,"483 Broadway, New York",40.7217048,-74.00033549999999,57565.0,2686.2555066079294,2.6286905066079296
Iza By Silvia D'Avila at Flying Solo,"419 Broome Street, New York",40.72107260000001,-73.998733,57565.0,2686.2555066079294,2.6286905066079296
Piombo,"Piombo, Spring Street #149, New York",40.7244877,-74.00134919999999,84978.0,3965.46255506608,3.88048455506608
Nordstrom Rack,"60 East 14th Street, New York",40.7343826,-73.990185,84978.0,3965.46255506608,3.88048455506608
Marshalls,"620 6th Avenue, New York",40.740067,-73.9945349,84978.0,3965.46255506608,3.88048455506608
T.J. Maxx,"620 6th Avenue, New York",40.740022,-73.9946556,84978.0,3965.46255506608,3.88048455506608
Burlington,"707 6th Avenue, New York",40.7426666,-73.99325569999999,84978.0,3965.46255506608,3.88048455506608
Burlington,"4 Union Square East, New York",40.734867,-73.991455,84978.0,3965.46255506608,3.88048455506608
MUJI Chelsea,"16 West 19th Street, New York",40.73946179999999,-73.9925543,84978.0,3965.46255506608,3.88048455506608
Lot-Less,"80 Clinton Street #2, New York",40.71864589999999,-73.9851937,49685.0,7192.819383259912,7.143134383259912
SNOW XUE GAO New York Flagship Store,"208 Bowery, New York",40.721671,-73.9940015,49685.0,7192.819383259912,7.143134383259912
Shoppers World,"60 Graham Avenue, Brooklyn",40.702932,-73.94223699999999,68618.0,2204.394812680115,2.135776812680115
Telco Stores,"305 Broadway, Brooklyn",40.708437,-73.9574915,101442.0,2493.9913544668584,2.3925493544668583
Pearl River Mart at Chelsea Market,"75 9th Avenue, New York",40.7428287,-74.00635249999999,84978.0,3965.46255506608,3.88048455506608
Target,"400 Grand Street, New York",40.7164903,-73.9867718,49685.0,7192.819383259912,7.143134383259912
Marshalls,"197 East Houston Street, New York",40.7223519,-73.9875872,49685.0,7192.819383259912,7.143134383259912
Target,"600 Broadway, New York",40.7250231,-73.9965204,84978.0,3965.46255506608,3.88048455506608
Target,"500 East 14th Street, New York",40.7302061,-73.9803563,101442.0,2493.9913544668584,2.3925493544668583
Apple Department store,"247 Bedford Avenue, Brooklyn",40.7155855,-73.9597695,101442.0,2493.9913544668584,2.3925493544668583
Lot Stop Department,"245 1st Avenue, New York",40.7317754,-73.9826815,49685.0,7192.819383259912,7.143134383259912
MUJI Williamsburg,"200 Wythe Avenue, Brooklyn",40.7186174,-73.96165239999999,101442.0,2493.9913544668584,2.3925493544668583
Nordstrom Store,"60 East 14th Street, New York",40.7343917,-73.9903092,84978.0,3965.46255506608,3.88048455506608
Target,"10 Union Square East, New York",40.7345854,-73.989688,84978.0,3965.46255506608,3.88048455506608
Fat Albert,"774 Broadway, Brooklyn",40.7000122,-73.9411011,68618.0,2204.394812680115,2.135776812680115
DII Deals & Discounts,"775 Manhattan Avenue, Brooklyn",40.7272194,-73.9529306,101442.0,2493.9913544668584,2.3925493544668583
Target,"512 2nd Avenue, New York",40.74141579999999,-73.9780066,117596.0,6288.325991189427,6.170729991189428
Telco Stores,"58-09 Myrtle Avenue, Ridgewood",40.7007,-73.900932,69726.0,1556.4857405703772,1.4867597405703772
Shoppers World,"422 Knickerbocker Avenue, Brooklyn",40.6994705,-73.9198608,70582.0,1622.9682997118157,1.552386299711816
Lot-Less,"66-73 Fresh Pond Road, Ridgewood",40.7067179,-73.89687409999999,69726.0,1556.4857405703772,1.4867597405703772
ABC Super Stores,"300 Wyckoff Avenue, Brooklyn",40.6993481,-73.9110407,70582.0,1622.9682997118157,1.552386299711816
Liberty Department Stores,"54-30 Myrtle Avenue, Ridgewood",40.6996363,-73.9095883,70582.0,1622.9682997118157,1.552386299711816
Extreme Department Store,"54-08 Myrtle Avenue, Ridgewood",40.6994188,-73.9102707,70582.0,1622.9682997118157,1.552386299711816
Sam's Closeout,"6005 Myrtle Avenue, Ridgewood",40.7007163,-73.89807789999999,69726.0,1556.4857405703772,1.4867597405703772
Telco Stores,"6080 Myrtle Avenue, Flushing",40.7006247,-73.8954208,69726.0,1556.4857405703772,1.4867597405703772
DII Deals & Discounts,"6642 Fresh Pond Road, Ridgewood",40.7075702,-73.8977933,69726.0,1556.4857405703772,1.4867597405703772
